IG110, PoreXY
12.60713008,Hg porosimetry 
30,30
89.139717,0
72.453465,0.763
58.832213,2.029
48.065534,2.59
36.862289,3.856
26.548833,4.805
21.919603,5.366
17.635556,5.841
12.401394,7.006
9.746888,8.201
8.068049,8.201
6.336947,9.308
4.973978,10.905
4.014207,12.056
3.246094,14.114
2.984,20.271
2.923485,23.882
2.841485,30.889
2.759485,37.895
2.686196,46.182
2.612907,54.469
2.568297,63.389
2.523688,72.309
2.461914,78.251
2.400139,84.193
0.56466,98.957
0.42466,99.24
0.32466,99.486
0.20466,99.803
0.15466,100

